date,tqqq_open,tqqq_close,bil_open,bil_close
2010-11-16,0.3177919739,0.3086333871,73.6684385732,73.6845092773
2010-11-17,0.3091771851,0.3115535676,73.6684385732,73.6845092773
2010-11-18,0.3215789808,0.3260351717,73.6684722900,73.6684722900
2010-11-19,0.3249705788,0.3268023133,73.6684722900,73.6684722900
2010-11-22,0.3229163432,0.3354170918,73.6684722900,73.6684722900
2010-11-23,0.3254905496,0.3195742965,73.6845430015,73.6684722900
2010-11-24,0.3286587236,0.3382383883,73.6684385732,73.6845092773
2010-11-26,0.3323469020,0.3361101449,73.6684385732,73.6845092773
2010-11-29,0.3304656945,0.3314314485,73.6684385732,73.6845092773
2010-11-30,0.3209107065,0.3188318610,73.6684385732,73.6845092773
2010-12-01,0.3334609259,0.3391053081,73.6845430015,73.6684722900
2010-12-02,0.3406147302,0.3494026065,73.6684722900,73.6684722900
2010-12-03,0.3451945061,0.3523236513,73.6684385732,73.6845092773
2010-12-06,0.3523978441,0.3517048955,73.6684722900,73.6684722900
2010-12-07,0.3647008440,0.3520271182,73.6684722900,73.6684722900
2010-12-08,0.3555165736,0.3569034338,73.6684722900,73.6684722900
2010-12-09,0.3628691212,0.3572741449,73.6684385732,73.6845092773
2010-12-10,0.3597256350,0.3647749722,73.6684385732,73.6845092773
2010-12-13,0.3693547793,0.3604927659,73.6684385732,73.6845092773
2010-12-14,0.3633396205,0.3620021939,73.6684385732,73.6845092773
2010-12-15,0.3617056065,0.3583140373,73.6684722900,73.6684722900
2010-12-16,0.3586856851,0.3657900989,73.6684722900,73.6684722900
2010-12-17,0.3669536327,0.3669041991,73.6684385732,73.6845092773
2010-12-20,0.3688347769,0.3678937256,73.6684385732,73.6845092773
2010-12-21,0.3721513457,0.3739583492,73.6845092773,73.6845092773
2010-12-22,0.3740086835,0.3743546903,73.6845430015,73.6684722900
2010-12-23,0.3723993817,0.3715077639,73.6684722900,73.6684722900
2010-12-27,0.3685126133,0.3716570437,73.6684722900,73.6684722900
2010-12-28,0.3744287192,0.3700476289,73.6684385732,73.6845092773
2010-12-29,0.3733147215,0.3722510636,73.6845430015,73.6684722900
2010-12-30,0.3723993697,0.3694536090,73.6684385732,73.6845092773
2010-12-31,0.3686371264,0.3660620749,73.6684722900,73.6684722900
2011-01-03,0.3757910154,0.3825979233,73.6684385732,73.6845092773
2011-01-04,0.3874000615,0.3820037544,73.6845092773,73.6845092773
2011-01-05,0.3782168100,0.3914846182,73.6684385732,73.6845092773
2011-01-06,0.3928705333,0.3950244784,73.6845092773,73.6845092773
2011-01-07,0.3970291748,0.3941081166,73.6684722900,73.6684722900
2011-01-10,0.3911128910,0.3985395730,73.6684385732,73.6845092773
2011-01-11,0.4033912099,0.4003713131,73.6845092773,73.6845092773
2011-01-12,0.4059158750,0.4084909260,73.6684722900,73.6684722900
2011-01-13,0.4099510023,0.4097779989,73.6684722900,73.6684722900
2011-01-14,0.4095793106,0.4186647236,73.6684722900,73.6684722900
2011-01-18,0.4079710312,0.4220059812,73.6684722900,73.6684722900
2011-01-19,0.4241598104,0.4078720808,73.6845092773,73.6845092773
2011-01-20,0.4029948578,0.3987126052,73.6845092773,73.6845092773
2011-01-21,0.4045299735,0.3896034360,73.6684722900,73.6684722900
2011-01-24,0.3917810716,0.4056933820,73.6684722900,73.6684722900
2011-01-25,0.4002230039,0.4071040750,73.6845092773,73.6845092773
2011-01-26,0.4097285425,0.4134167135,73.6845430015,73.6684722900
2011-01-27,0.4182683434,0.4213871360,73.6684385732,73.6845092773
2011-01-28,0.4215363480,0.3896034360,73.6684722900,73.6684722900
2011-01-31,0.3911376829,0.3953714371,73.6684722900,73.6684722900
2011-02-01,0.4044805281,0.4173272848,73.6684722900,73.6684722900
2011-02-02,0.4151248863,0.4154461622,73.6684722900,73.6684722900
2011-02-03,0.4131438544,0.4170553684,73.6845430015,73.6684722900
2011-02-04,0.4181200613,0.4245809615,73.6684385732,73.6845092773
2011-02-07,0.4272292106,0.4307443500,73.6845430015,73.6684722900
2011-02-08,0.4308926402,0.4399285913,73.6845430015,73.6684722900
2011-02-09,0.4370075872,0.4372547269,73.6845092773,73.6845092773
2011-02-10,0.4299773230,0.4393840134,73.6684722900,73.6684722900
2011-02-11,0.4353241669,0.4483942688,73.6845430015,73.6684722900
2011-02-14,0.4482953418,0.4512163997,73.6845430015,73.6684722900
2011-02-15,0.4487155202,0.4500529468,73.6845092773,73.6845092773
2011-02-16,0.4535928033,0.4583702981,73.6845092773,73.6845092773
2011-02-17,0.4516119249,0.4579739869,73.6684385732,73.6845092773
2011-02-18,0.4582458264,0.4553751647,73.6684722900,73.6684722900
2011-02-22,0.4372053033,0.4152731597,73.6845430015,73.6684722900
2011-02-23,0.4151496761,0.4050253332,73.6845092773,73.6845092773
2011-02-24,0.4078721663,0.4107922614,73.6845092773,73.6845092773
2011-02-25,0.4184413720,0.4283927381,73.6845092773,73.6845092773
2011-02-28,0.4332937341,0.4315114617,73.6845430015,73.6684722900
2011-03-01,0.4373041285,0.4107674956,73.6845430015,73.6684722900
2011-03-02,0.4099757328,0.4165602028,73.6845092773,73.6845092773
2011-03-03,0.4286901554,0.4414133132,73.6845430015,73.6684722900
2011-03-04,0.4416111203,0.4348783493,73.6684385732,73.6845092773
2011-03-07,0.4403241094,0.4175507426,73.6845430015,73.6684722900
2011-03-08,0.4151742966,0.4219070673,73.6845430015,73.6684722900
2011-03-09,0.4184413146,0.4133919775,73.6845430015,73.6684722900
2011-03-10,0.3987372409,0.3944796920,73.6684722900,73.6684722900
2011-03-11,0.3878953374,0.4010643065,73.6684385732,73.6845092773
2011-03-14,0.3945291317,0.3971536160,73.6684385732,73.6845092773
2011-03-15,0.3618044975,0.3809144199,73.7005691528,73.7005691528
2011-03-16,0.3714089046,0.3529424965,73.6845045789,73.7005691528
2011-03-17,0.3690819205,0.3621514440,73.7005691528,73.7005691528
2011-03-18,0.3748251807,0.3601705134,73.6845045789,73.7005691528
2011-03-21,0.3759639446,0.3802709281,73.6845045789,73.7005691528
2011-03-22,0.3820531368,0.3792309463,73.6684722900,73.6684722900
2011-03-23,0.3745780306,0.3849742413,73.6684385732,73.6845092773
2011-03-24,0.3939845439,0.4059159160,73.6684722900,73.6684722900
2011-03-25,0.4099758148,0.4088864625,73.6684722900,73.6684722900
2011-03-28,0.4144319224,0.4019559026,73.6684385732,73.6845092773
2011-03-29,0.3995300490,0.4134908319,73.6845430015,73.6684722900
2011-03-30,0.4198281168,0.4195800424,73.6845092773,73.6845092773
2011-03-31,0.4178472606,0.4213624001,73.6684722900,73.6684722900
2011-04-01,0.4274022607,0.4220059812,73.6845430015,73.6684722900
2011-04-04,0.4256198330,0.4181941152,73.6684722900,73.6684722900
2011-04-05,0.4150753596,0.4134413600,73.6845430015,73.6684722900
2011-04-06,0.4233433705,0.4165602028,73.6684722900,73.6684722900
2011-04-07,0.4168577238,0.4164613485,73.6684385732,73.6845092773
2011-04-08,0.4222046508,0.4102238715,73.6845430015,73.6684722900
2011-04-11,0.4149765682,0.4065099955,73.6684722900,73.6684722900
2011-04-12,0.4007677638,0.3984902203,73.6845092773,73.6845092773
2011-04-13,0.4071040831,0.4079957008,73.6845092773,73.6845092773
2011-04-14,0.3994796347,0.4057675302,73.7006075838,73.6684722900
2011-04-15,0.4010147601,0.4031440020,73.6684385732,73.6845092773
2011-04-18,0.3914599220,0.3953714371,73.6684722900,73.6684722900
2011-04-19,0.3978466742,0.4025005996,73.6684722900,73.6684722900
2011-04-20,0.4237388205,0.4292843640,73.6845430015,73.6684722900
2011-04-21,0.4427003647,0.4401756823,73.6684722900,73.6684722900
2011-04-25,0.4417603808,0.4434428513,73.6845430015,73.6684722900
2011-04-26,0.4470577609,0.4510671794,73.6845430015,73.6684722900
2011-04-27,0.4529987044,0.4604244232,73.6684722900,73.6684722900
2011-04-28,0.4559188728,0.4597315490,73.6684722900,73.6684722900
2011-04-29,0.4561668853,0.4575033486,73.6684722900,73.6684722900
2011-05-02,0.4594834024,0.4550281465,73.6845430015,73.6684722900
2011-05-03,0.4535928490,0.4481956065,73.6845430015,73.6684722900
2011-05-04,0.4481460465,0.4455719590,73.7005691528,73.7005691528
2011-05-05,0.4390370011,0.4388887286,73.6845045789,73.7005691528
2011-05-06,0.4522554381,0.4427004755,73.6845045789,73.7005691528
2011-05-09,0.4447801947,0.4475025833,73.6845045789,73.7005691528
2011-05-10,0.4519093436,0.4589890838,73.7005691528,73.7005691528
2011-05-11,0.4576022134,0.4490871429,73.6845045789,73.7005691528
2011-05-12,0.4443838900,0.4570081830,73.7005691528,73.7005691528
2011-05-13,0.4539387974,0.4408192635,73.7005738523,73.6845092773
2011-05-16,0.4350265425,0.4178966284,73.7005738523,73.6845092773
2011-05-17,0.4116096949,0.4213129282,73.7005738523,73.6845092773
2011-05-18,0.4197787383,0.4315608740,73.6684722900,73.6684722900
2011-05-19,0.4365617784,0.4352747202,73.6684338759,73.7005691528
2011-05-20,0.4337889634,0.4256702960,73.6845092773,73.6845092773
2011-05-23,0.4081933246,0.4072028399,73.6845092773,73.6845092773
2011-05-24,0.4103226080,0.3995300233,73.6684385732,73.6845092773
2011-05-25,0.3975985002,0.4039852917,73.6845092773,73.6845092773
2011-05-26,0.4000243943,0.4115603268,73.6845092773,73.6845092773
2011-05-27,0.4135897584,0.4176989794,73.6684385732,73.6845092773
2011-05-31,0.4297290792,0.4377992749,73.6684385732,73.6845092773
2011-06-01,0.4349276905,0.4098273814,73.6684722900,73.6684722900
2011-06-02,0.4116591410,0.4122037888,73.6684722900,73.6684722900
2011-06-03,0.3977477573,0.3934893012,73.6684722900,73.6684722900
2011-06-06,0.3916576134,0.3839837909,73.6845430015,73.6684722900
2011-06-07,0.3869542717,0.3817566335,73.6845092773,73.6845092773
2011-06-08,0.3791320910,0.3735381067,73.6684385732,73.6845092773
2011-06-09,0.3736863812,0.3751721084,73.6845430015,73.6684722900
2011-06-10,0.3700724669,0.3579434156,73.6684385732,73.6845092773
2011-06-13,0.3594775066,0.3581904769,73.6845430015,73.6684722900
2011-06-14,0.3662607203,0.3715077639,73.6684385732,73.6845092773
2011-06-15,0.3614575508,0.3512096405,73.6845092773,73.6845092773
2011-06-16,0.3514082931,0.3463085592,73.6845092773,73.6845092773
2011-06-17,0.3561106286,0.3437344134,73.6845092773,73.6845092773
2011-06-20,0.3403676044,0.3482885659,73.6845092773,73.6845092773
2011-06-21,0.3527942151,0.3715077639,73.6845430015,73.6684722900
2011-06-22,0.3665572409,0.3631409407,73.6684385732,73.6845092773
2011-06-23,0.3512096584,0.3731912076,73.6845092773,73.6845092773
2011-06-24,0.3676466883,0.3535366654,73.6845430015,73.6684722900
2011-06-27,0.3552199717,0.3707158864,73.6845430015,73.6684722900
2011-06-28,0.3733897493,0.3873505294,73.6845430015,73.6684722900
2011-06-29,0.3907668681,0.3922021985,73.6684385732,73.6845092773
2011-06-30,0.3963114894,0.4071040750,73.6684385732,73.6845092773
2011-07-01,0.4084415316,0.4259668887,73.6845430015,73.6684722900
2011-07-05,0.4274022109,0.4321055412,73.6845430015,73.6684722900
2011-07-06,0.4310171189,0.4367099702,73.6684385732,73.6845092773
2011-07-07,0.4463144570,0.4543846548,73.6684722900,73.6684722900
2011-07-08,0.4428487259,0.4506223500,73.6684722900,73.6684722900
2011-07-11,0.4368582939,0.4264620841,73.6845248122,73.6523895264
2011-07-12,0.4258679511,0.4160648882,73.6845430015,73.6684722900
2011-07-13,0.4253233199,0.4216104746,73.6684385732,73.6845092773
2011-07-14,0.4253233141,0.4071040750,73.6845092773,73.6845092773
2011-07-15,0.4211151535,0.4232938290,73.6684385732,73.6845092773
2011-07-18,0.4169565671,0.4163130522,73.6684385732,73.6845092773
2011-07-19,0.4288384949,0.4456709027,73.6845092773,73.6845092773
2011-07-20,0.4527506352,0.4394333661,73.6684722900,73.6684722900
2011-07-21,0.4407698715,0.4483448267,73.6845430015,73.6684722900
2011-07-22,0.4479483798,0.4622561038,73.6684385732,73.6845092773
2011-07-25,0.4508201268,0.4595338404,73.6845092773,73.6845092773
2011-07-26,0.4579986688,0.4620584846,73.6684385732,73.6845092773
2011-07-27,0.4536422227,0.4270067513,73.6845092773,73.6845092773
2011-07-28,0.4277986364,0.4292843640,73.6684385732,73.6845092773
2011-07-29,0.4187388356,0.4251255989,73.6684385732,73.6845092773
2011-08-01,0.4405227204,0.4193823934,73.6684385732,73.6845092773
2011-08-02,0.4129956719,0.3875483871,73.6684385732,73.6845092773
2011-08-03,0.3885388742,0.3975985944,73.6845092773,73.6845092773
2011-08-04,0.3812119961,0.3434863985,73.6845092773,73.6845092773
2011-08-05,0.3548730737,0.3359114230,73.6845092773,73.6845092773
2011-08-08,0.3063064368,0.2768982053,73.6684385732,73.6845092773
2011-08-09,0.2878400848,0.3148215711,73.6845092773,73.6845092773
2011-08-10,0.2937306168,0.2776900232,73.6684385732,73.6845092773
2011-08-11,0.2884835665,0.3133357763,73.6684385732,73.6845092773
2011-08-12,0.3204648805,0.3213070929,73.6845092773,73.6845092773
2011-08-15,0.3253174832,0.3351690173,73.6684385732,73.6845092773
2011-08-16,0.3260598606,0.3265551031,73.6845092773,73.6845092773
2011-08-17,0.3285351272,0.3212576807,73.6845092773,73.6845092773
2011-08-18,0.2950679773,0.2746700644,73.6845248122,73.6523895264
2011-08-19,0.2653137487,0.2592729926,73.6845092773,73.6845092773
2011-08-22,0.2774922135,0.2615998983,73.6684541047,73.6523895264
2011-08-23,0.2671949469,0.2939786911,73.6684385732,73.6845092773
2011-08-24,0.2924434571,0.3009100556,73.6845092773,73.6845092773
2011-08-25,0.3002656693,0.2864531577,73.6845248122,73.6523895264
2011-08-26,0.2838790200,0.3071476221,73.6845092773,73.6845092773
2011-08-29,0.3168509271,0.3332879245,73.6845092773,73.6845092773
2011-08-30,0.3297233793,0.3400701582,73.6684385732,73.6845092773
2011-08-31,0.3463579841,0.3420510292,73.6845092773,73.6845092773
2011-09-01,0.3442791301,0.3323971927,73.6684385732,73.6845092773
2011-09-02,0.3136827465,0.3091276884,73.6845092773,73.6845092773
2011-09-06,0.2872953124,0.3090781868,73.6684722900,73.6684722900
2011-09-07,0.3224952984,0.3324466348,73.6684541047,73.6523895264
2011-09-08,0.3271491977,0.3278421462,73.6523895264,73.6523895264
2011-09-09,0.3218023265,0.3062569499,73.6524077078,73.6684722900
2011-09-12,0.2961572997,0.3177424967,73.6524077078,73.6684722900
2011-09-13,0.3214059795,0.3300702870,73.6684541047,73.6523895264
2011-09-14,0.3358125174,0.3443285227,73.6684541047,73.6523895264
2011-09-15,0.3562599591,0.3599728048,73.6684541047,73.6523895264
2011-09-16,0.3627949334,0.3693794310,73.6684541047,73.6523895264
2011-09-19,0.3563093565,0.3703195453,73.6684722900,73.6684722900
