date,tqqq,qqq,bil
2011-03-17,0.3621514440,47.8221015930,73.7005691528
2011-03-18,0.3601704240,47.7143211365,73.7005691528
2011-03-21,0.3802708685,48.6344261169,73.7005691528
2011-03-22,0.3792309761,48.5467948914,73.6684188843
2011-03-23,0.3849742115,48.8184471130,73.6845474243
2011-03-24,0.4059159160,49.6859970093,73.6684188843
2011-03-25,0.4088863134,49.8086662292,73.6684188843
2011-03-28,0.4019559324,49.5370140076,73.6845474243
2011-03-29,0.4134908617,50.0189743042,73.6684188843
2011-03-30,0.4195801318,50.2555770874,73.6845474243
2011-03-31,0.4213623405,50.3256835938,73.6684188843
2011-04-01,0.4220059216,50.3519859314,73.6684188843
2011-04-04,0.4181942046,50.1854629517,73.6684188843
2011-04-05,0.4134414494,50.0540237427,73.6684188843
2011-04-06,0.4165602028,50.1767044067,73.6684188843
2011-04-07,0.4164613187,50.1416625977,73.6845474243
2011-04-08,0.4102237821,49.9050445557,73.6684188843
2011-04-11,0.4065100253,49.7385673523,73.6684188843
2011-04-12,0.3984901607,49.3968200684,73.6845474243
2011-04-13,0.4079957008,49.8174133301,73.6845474243
2011-04-14,0.4057676494,49.7298011780,73.6684188843
2011-04-15,0.4031440318,49.6421699524,73.6845474243
2011-04-18,0.3953714371,49.2916374207,73.6684188843
2011-04-19,0.4025005996,49.5983390808,73.6684188843
2011-04-20,0.4292843044,50.7199974060,73.6684188843
2011-04-21,0.4401757419,51.1231079102,73.6684188843
2011-04-25,0.4434428513,51.2545356750,73.6684188843
2011-04-26,0.4510672390,51.5437355042,73.6684188843
2011-04-27,0.4604243338,51.8942375183,73.6684188843
2011-04-28,0.4597314894,51.8153991699,73.6684188843
2011-04-29,0.4575034082,51.7715721130,73.6684188843
2011-05-02,0.4550281167,51.6751594543,73.6684188843
2011-05-03,0.4481956065,51.4298057556,73.6684188843
2011-05-04,0.4455720484,51.3509368896,73.7005691528
2011-05-05,0.4388886988,51.0705299377,73.7005691528
2011-05-06,0.4427004158,51.2370147705,73.7005691528
2011-05-09,0.4475026131,51.4298057556,73.7005691528
2011-05-10,0.4589891732,51.8679542542,73.7005691528
2011-05-11,0.4490872025,51.4911460876,73.7005691528
2011-05-12,0.4570081532,51.7978553772,73.7005691528
2011-05-13,0.4408192337,51.1844406128,73.6845474243
2011-05-16,0.4178966880,50.2993888855,73.6845474243
2011-05-17,0.4213129878,50.4396018982,73.6845474243
2011-05-18,0.4315608740,50.8602180481,73.6684188843
2011-05-19,0.4352746606,51.0091705322,73.7005691528
2011-05-20,0.4256702960,50.6236076355,73.6845474243
2011-05-23,0.4072029293,49.8787574768,73.6845474243
2011-05-24,0.3995300531,49.5720558167,73.6845474243
2011-05-25,0.4039853811,49.7648429871,73.6845474243
2011-05-26,0.4115602672,50.0715446472,73.6845474243
2011-05-27,0.4176989496,50.3256835938,73.6845474243
2011-05-31,0.4377993047,51.1406402588,73.6845474243
2011-06-01,0.4098273516,50.0277328491,73.6684188843
2011-06-02,0.4122038186,50.1329078674,73.6684188843
2011-06-03,0.3934893012,49.3792572021,73.6684188843
